siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 22:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 21:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 21:00",21.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 21:00",44
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 21:00",21.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 21:00",0.52
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 21:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 20:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 20:00",16.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 20:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 20:00",37.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 20:00",0.53
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 20:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 19:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 19:00",14.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 19:00",31
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 19:00",46.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 19:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 19:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 18:00",10
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 18:00",13.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 18:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 18:00",51.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 18:00",0.38
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 18:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 17:00",9
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 17:00",9.2
